sit,,Mid,Mid,Mid
Production per timestep [MWh],,Curtailment,Gas plant,Photovoltaics
stf,t,,,
2019,101,0.0,51396.3084802,0.0
2019,102,0.0,54729.4011692,0.0
2019,103,0.0,60357.8984225,0.0
2019,104,0.0,63548.7894055,0.0
2019,105,0.0,64487.0348286,226.271250083
2019,106,0.0,64932.1947262,1203.128412
2019,107,0.0,65361.7480966,2045.70381654
2019,108,0.0,64513.3326505,2578.00871362
2019,109,0.0,62529.7899475,2902.21123967
2019,110,0.0,61770.1197511,2025.60099517
2019,111,0.0,62355.5136584,870.43944174
2019,112,0.0,64965.4656569,18.7923209836
2019,113,0.0,67436.2765833,0.0
2019,114,0.0,66710.8557184,0.0
2019,115,0.0,64135.8518538,0.0
2019,116,0.0,60308.8964833,0.0
2019,117,0.0,58096.1226399,0.0
2019,118,0.0,57226.5784245,0.0
2019,119,0.0,53131.5536218,0.0
2019,120,0.0,49137.4151646,0.0
2019,121,0.0,46492.2712694,0.0
2019,122,0.0,45136.5509511,0.0
2019,123,0.0,44896.3453667,0.0
2019,124,0.0,44957.8379963,0.0
2019,125,0.0,43942.2487855,0.0
2019,126,0.0,42786.3795134,0.0
2019,127,0.0,44975.1327984,0.0
2019,128,0.0,47780.734024,0.0
2019,129,0.0,50142.9205607,581.773105602
2019,130,0.0,51671.6811705,1658.7626752
2019,131,0.0,52553.2553346,2508.59036339
2019,132,0.0,51727.2253851,2898.40697158
2019,133,0.0,49838.3119051,3212.53264034
2019,134,0.0,49101.0536928,2169.38706114
2019,135,0.0,50226.0244065,879.154905432
2019,136,0.0,53791.3514654,25.2684830558
2019,137,0.0,57589.7692681,0.0
2019,138,0.0,57636.8495626,0.0
2019,139,0.0,55969.8228069,0.0
2019,140,0.0,52467.6253866,0.0
2019,141,0.0,51081.1587535,0.0
2019,142,0.0,50960.095139,0.0
2019,143,0.0,47358.9330178,0.0
2019,144,0.0,43687.630866,0.0
2019,145,0.0,41251.9462404,0.0
2019,146,0.0,39806.8694447,0.0
2019,147,0.0,39333.1840323,0.0
2019,148,0.0,39959.6401964,0.0
2019,149,0.0,39248.6316666,0.0
2019,150,0.0,37621.9594491,0.0
2019,151,0.0,39093.9392702,0.0
2019,152,0.0,41658.3740891,0.0
2019,153,0.0,44324.7754532,510.07728384
