sit,Mid,Mid,North,North,South,South
pro,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2019-06-27 12:00:00,48987.3077566,16357.2585978,10136.8098881,1586.09126034,1850.96775788,4068.82418845
2019-06-27 13:00:00,48488.0550825,15608.4030554,10148.9214059,1462.94752895,2044.89148221,4060.153178
2019-06-27 14:00:00,48696.4427209,14160.5546016,10065.543829,1293.50175455,2211.52878963,3965.40498343
2019-06-27 15:00:00,50361.5395265,11768.1152864,10282.4365398,1038.34794311,2368.43202368,3749.51581063
2019-06-27 16:00:00,52967.000266,8393.9966769,10295.8840016,774.327782999,2754.63072326,3297.87958526
2019-06-27 17:00:00,54955.3308812,5096.06521567,10322.122758,529.025470064,3650.32844975,2284.20998128
2019-06-27 18:00:00,55221.3669273,1978.30847175,10251.317197,347.757897454,5116.39870377,689.107986247
2019-06-27 19:00:00,55308.1475416,116.888999916,10189.4077522,192.104220973,5665.20293539,65.6496758958
2019-06-27 20:00:00,54036.6482638,0.0,10029.764847,71.9159391335,5611.9590785,0.0
2019-06-27 21:00:00,49237.3406877,0.0,9544.16256936,25.6138961297,5969.56133215,0.0
2019-06-27 22:00:00,46040.6847707,0.0,9037.34903262,14.7772477672,5561.2680374,0.0
2019-06-27 23:00:00,43489.7014645,0.0,8837.32127079,16.7475474694,4987.07678991,0.0
2019-06-28 00:00:00,42661.4726095,0.0,8689.94500839,27.584195832,4528.09245405,0.0
2019-06-28 01:00:00,42605.744914,0.0,8567.0377487,52.2129421106,4261.7340744,0.0
2019-06-28 02:00:00,43346.5389362,0.0,8420.44929828,81.7674376449,4093.0711558,0.0
2019-06-28 03:00:00,45759.7120155,33.0805921173,8600.2807184,148.757627523,3965.88272537,0.0
2019-06-28 04:00:00,51849.6526319,954.260572843,9508.58759998,281.752857427,3964.96107008,0.0
2019-06-28 05:00:00,56240.3412865,2897.31276738,10454.6622375,464.005579889,3960.42181827,57.0736035083
2019-06-28 06:00:00,56470.5537096,5697.53399689,10705.7988506,744.773287465,3613.60868816,518.171989934
2019-06-28 07:00:00,54929.2661025,8218.86038825,10593.5199956,989.090450548,3152.43682646,1661.36876839
2019-06-28 08:00:00,54013.051514,10068.9942888,10572.4043264,1209.7640172,2953.28671459,2838.39514603
2019-06-28 09:00:00,54066.6838724,11611.2878332,10386.6056802,1356.55134503,2555.98457213,3499.29070227
2019-06-28 10:00:00,50837.6344072,13452.909843,10297.4645025,1462.94752895,2384.19243081,3819.46934574
2019-06-28 11:00:00,48889.9763357,14567.5349477,10297.6305333,1506.2941224,2360.95890769,3982.79447338
2019-06-28 12:00:00,46552.9107449,15592.1172254,10172.5947699,1473.78417731,1895.84895765,4044.21940513
2019-06-28 13:00:00,45689.1072491,15281.7958248,10166.5413203,1389.06129011,2027.60225668,4041.4978471
2019-06-28 14:00:00,45652.5061898,14101.0349824,10014.4538395,1256.06606021,2186.07125056,3946.62306844
2019-06-28 15:00:00,47396.5520438,12007.2497975,10143.0855663,1034.4073437,2328.44168086,3728.67690411
2019-06-28 16:00:00,49956.4832166,8854.49124248,10140.7784572,770.387183594,2719.31558842,3285.26864486
2019-06-28 17:00:00,52592.1563667,5282.01631329,10241.8651219,497.500674828,3518.12790462,2293.83037244
2019-06-28 18:00:00,53280.4914731,2085.93490587,10228.2812677,280.767707576,4973.90143916,706.260131022
2019-06-28 19:00:00,53343.6308636,184.742383671,10069.1160537,142.846728416,5596.6918247,67.8016054985
2019-06-28 20:00:00,52622.3177829,0.0,10010.2748414,40.3911438969,5543.75658683,0.0
2019-06-28 21:00:00,48693.5152447,0.0,9610.04546015,16.7475474694,5871.8658711,0.0
2019-06-28 22:00:00,45265.3011443,0.0,9165.82576351,10.8366483626,5597.21259382,0.0
2019-06-28 23:00:00,43270.6339715,0.0,8943.05653971,13.792097916,5044.21941807,0.0
2019-06-29 00:00:00,42152.2367706,0.0,8828.68985432,24.6287462786,4601.82487748,0.0
2019-06-29 01:00:00,42281.9477862,0.0,8680.18435204,43.3465934503,4302.28690729,0.0
2019-06-29 02:00:00,43408.9923882,0.0,8437.99248449,67.9753397289,4123.48578046,0.0
2019-06-29 03:00:00,45408.6282711,53.6414524487,8678.73562506,128.069480649,4015.65211119,0.0
2019-06-29 04:00:00,50841.0560796,1383.48125557,9652.07651083,262.049860404,4041.45845939,0.0
2019-06-29 05:00:00,54634.3446223,3624.15699272,10571.901357,428.540185248,4006.21598867,52.7539212911
2019-06-29 06:00:00,53447.4953004,7738.63197714,10758.4064684,653.154351308,3590.39773562,504.516730763
2019-06-29 07:00:00,50910.2551689,11237.6552685,10789.093412,892.545765136,3088.69922013,1687.31850771
2019-06-29 08:00:00,49761.8837845,13372.7911935,10773.5628676,1102.38268343,2853.26961314,2830.57857821
2019-06-29 09:00:00,49803.3516718,14750.4578989,10549.3590308,1256.06606021,2537.5177271,3450.47671091
2019-06-29 10:00:00,48063.3682529,15392.2213859,10408.4684881,1330.9374489,2362.34772421,3764.81666303
2019-06-29 11:00:00,47426.0718842,14943.7885132,10114.2844966,1340.78894741,2202.85498315,3943.66416524
2019-06-29 12:00:00,45818.5418552,14895.8216546,9859.86050154,1448.17028118,1827.16855788,4025.34255207
2019-06-29 13:00:00,45875.3354795,13761.9461899,9644.11730269,1371.32859279,1974.13070783,4034.14014662
2019-06-29 14:00:00,47205.5359407,11590.065361,9534.53535558,1189.07587033,2109.41983289,3940.32550975
2019-06-29 15:00:00,49997.04989,8691.90013222,9623.1173663,981.209251739,2281.98364684,3715.2273441
2019-06-29 16:00:00,53126.1468826,5522.44860146,9669.0512929,731.9663394,2624.62692133,3271.20198739
2019-06-29 17:00:00,54154.3575386,2809.91638766,9585.33382764,491.589775721,3463.3861725,2297.88106346
2019-06-29 18:00:00,53330.1668555,1248.38520668,9406.96678804,308.351903408,4973.34721202,717.874221672
2019-06-29 19:00:00,52845.6122033,37.0884330854,9303.37092867,157.623976183,5514.88196461,70.3491103959
2019-06-29 20:00:00,51935.3298116,0.0,9221.31839002,58.1238412175,5556.65976093,0.0
2019-06-29 21:00:00,47748.0660645,0.0,9073.78392358,9.85149851144,5803.66337943,0.0
2019-06-29 22:00:00,44487.9958732,0.0,8731.59382864,3.94059940458,5448.82609166,0.0
2019-06-29 23:00:00,42340.5579488,0.0,8513.56084298,5.91089910686,4931.77747234,0.0
2019-06-30 00:00:00,41164.5114076,0.0,8312.3584202,12.8069480649,4540.99562815,0.0
2019-06-30 01:00:00,40514.0346851,0.0,8116.82413756,30.5396453855,4290.30538848,0.0
2019-06-30 02:00:00,40441.0121875,0.0,7832.37732211,71.9159391335,4129.93736751,0.0
2019-06-30 03:00:00,40506.4778935,11.4000809758,7700.6789024,142.846728416,3997.21900533,0.0
2019-06-30 04:00:00,41501.0967742,826.009661865,7907.58552014,263.035010255,3931.78147954,0.0
2019-06-30 05:00:00,43568.9129544,2545.7551363,8170.44680199,444.302582866,3778.24268929,54.9216739056
2019-06-30 06:00:00,43278.999516,6481.98934573,8423.56936829,691.575195503,3164.39499179,510.24466103
2019-06-30 07:00:00,42633.6063205,9523.6734511,8673.78190612,944.758707247,2350.94917023,1650.87811157
2019-06-30 08:00:00,41434.900166,12363.4641581,8736.95531452,1198.92736884,1757.42050133,2752.23884686
2019-06-30 09:00:00,40126.4023956,14929.6783683,8604.05721403,1419.6009355,1522.75930149,3350.0322321
2019-06-30 10:00:00,37906.1886267,16014.2001343,8401.76160617,1550.6258657,1389.52643416,3668.51781331
2019-06-30 11:00:00,35027.5963969,16931.7539732,8175.06589697,1623.52695469,1282.02543892,3865.41937196
2019-06-30 12:00:00,33738.1070791,16405.2890729,7885.92672494,1766.3736831,1100.41087769,3995.42123678
2019-06-30 13:00:00,34144.7175575,15161.8023385,7797.78160285,1660.96264903,910.050970473,4008.82332777
2019-06-30 14:00:00,34176.3690764,14566.1481075,7962.5741545,1514.17532121,945.519727419,3934.64504852
2019-06-30 15:00:00,37103.5115571,12069.454034,8255.14017998,1268.87300827,1088.43163901,3728.13892171
2019-06-30 16:00:00,39962.4937388,9030.79807516,8407.38573558,989.090450548,1462.73535434,3289.31933588
2019-06-30 17:00:00,42240.1865451,5569.37214905,8518.99110108,684.679146545,2436.06454121,2306.77359608
2019-06-30 18:00:00,43033.0328597,2622.36215366,8563.24290801,423.614435992,4072.58179356,708.965866037
2019-06-30 19:00:00,44402.2380075,302.903714053,8592.64073903,237.421114126,4811.67087853,69.4155527006
2019-06-30 20:00:00,45120.2169713,0.0,8711.38966017,88.6634866029,5016.56975929,0.0
2019-06-30 21:00:00,42756.594021,0.0,8756.4794479,28.5693456832,5287.5364154,0.0
2019-06-30 22:00:00,39239.0234432,0.0,8423.71640818,17.7326973206,4992.60672167,0.0
2019-06-30 23:00:00,36976.2868383,0.0,8227.43973464,19.7029970229,4599.98156689,0.0
2019-07-01 00:00:00,35909.7740436,0.0,7968.32646205,33.4950949389,4269.10731674,0.0
2019-07-01 01:00:00,35374.5960016,0.0,7831.11964575,55.1683916641,3958.50948303,0.0
2019-07-01 02:00:00,35118.0564374,0.0,7528.81169649,89.6486364541,3729.93897039,0.0
2019-07-01 03:00:00,34286.2345962,95.831930703,7382.13869114,195.059670526,3648.83330462,0.0
2019-07-01 04:00:00,33537.6257111,1412.28681732,7449.62543392,355.639096263,3586.1607447,0.0
2019-07-01 05:00:00,33731.4954636,3422.54350707,7520.86955224,597.985959644,3508.70416542,50.7285757826
2019-07-01 06:00:00,33655.5394362,6868.10347227,7604.29729793,949.684456503,2889.28803294,478.440407342
2019-07-01 07:00:00,32796.6792218,10287.5552163,7676.75995877,1287.59085545,1928.93285682,1574.27891152
