", South, South, South "
"Timestep, Gas, PV, PHS "
352.00,3826.20,3139.80,0.00
353.00,5267.60,1655.40,0.00
354.00,6610.80,343.20,0.00
355.00,7273.60,14.40,0.00
356.00,7563.00,0.00,0.00
357.00,7531.00,0.00,0.00
358.00,7323.00,0.00,0.00
359.00,6968.00,0.00,0.00
360.00,6543.00,0.00,0.00
361.00,5664.00,0.00,0.00
362.00,5065.00,0.00,0.00
363.00,4712.00,0.00,0.00
364.00,4531.00,0.00,0.00
365.00,4450.00,0.00,0.00
366.00,4417.00,0.00,0.00
367.00,4452.00,0.00,0.00
368.00,4766.00,66.00,0.00
369.00,4861.80,862.20,0.00
370.00,4091.00,2481.00,0.00
371.00,3434.00,3489.00,0.00
372.00,3134.80,3892.20,0.00
373.00,3078.00,4023.00,0.00
374.00,2610.80,3982.20,0.00
375.00,3048.60,3746.40,0.00
376.00,3907.80,3070.20,0.00
377.00,5323.20,1588.80,0.00
378.00,6596.60,338.40,0.00
379.00,7287.00,15.00,0.00
380.00,7586.00,0.00,0.00
381.00,7559.00,0.00,0.00
382.00,7294.00,0.00,0.00
383.00,6963.00,0.00,0.00
384.00,6515.00,0.00,0.00
385.00,5688.00,0.00,0.00
386.00,5078.00,0.00,0.00
387.00,4746.00,0.00,0.00
388.00,4555.00,0.00,0.00
389.00,4500.00,0.00,0.00
390.00,4472.00,0.00,0.00
391.00,4527.00,0.00,0.00
392.00,4864.20,70.80,0.00
393.00,4905.20,892.80,0.00
394.00,4012.00,2493.00,0.00
395.00,3405.80,3478.20,0.00
396.00,3150.60,3884.40,0.00
397.00,3041.60,4019.40,0.00
398.00,2551.40,3987.60,0.00
399.00,2918.20,3763.80,0.00
400.00,3718.00,3111.00,0.00
401.00,5139.80,1651.20,0.00
402.00,6413.80,361.20,0.00
403.00,7108.40,15.60,0.00
404.00,7487.00,0.00,0.00
405.00,7414.00,0.00,0.00
406.00,7158.00,0.00,0.00
407.00,6868.00,0.00,0.00
408.00,6420.00,0.00,0.00
409.00,5652.00,0.00,0.00
410.00,5090.00,0.00,0.00
411.00,4755.00,0.00,0.00
412.00,4573.00,0.00,0.00
413.00,4431.00,0.00,0.00
414.00,4411.00,0.00,0.00
415.00,4509.00,0.00,0.00
416.00,4879.20,67.80,0.00
417.00,4969.40,849.60,0.00
418.00,4129.40,2457.60,0.00
419.00,3432.60,3455.40,0.00
420.00,3057.20,3865.80,0.00
421.00,3000.20,3994.80,0.00
422.00,2473.60,3959.40,0.00
423.00,2812.20,3727.80,0.00
424.00,3655.20,3067.80,0.00
425.00,5106.00,1596.00,0.00
426.00,6368.60,341.40,0.00
427.00,7020.00,15.00,0.00
428.00,7425.00,0.00,0.00
429.00,7398.00,0.00,0.00
430.00,7172.00,0.00,0.00
431.00,6862.00,0.00,0.00
432.00,6390.00,0.00,0.00
433.00,5631.00,0.00,0.00
434.00,5070.00,0.00,0.00
435.00,4727.00,0.00,0.00
436.00,4516.00,0.00,0.00
437.00,4462.00,0.00,0.00
438.00,4448.00,0.00,0.00
439.00,4537.00,0.00,0.00
440.00,4871.00,69.00,0.00
441.00,4858.60,860.40,0.00
442.00,4036.00,2418.00,0.00
443.00,3374.20,3400.80,0.00
444.00,3032.80,3796.20,0.00
445.00,2911.80,3907.20,0.00
446.00,2407.20,3880.80,0.00
447.00,2743.00,3621.00,0.00
448.00,3503.60,2969.40,0.00
449.00,4806.20,1564.80,0.00
450.00,5914.20,349.80,0.00
451.00,6641.80,19.20,0.00
452.00,7102.00,0.00,0.00
453.00,7108.00,0.00,0.00
454.00,6848.00,0.00,0.00
455.00,6586.00,0.00,0.00
456.00,6238.00,0.00,0.00
457.00,5573.00,0.00,0.00
458.00,5062.00,0.00,0.00
459.00,4699.00,0.00,0.00
460.00,4446.00,0.00,0.00
461.00,4298.00,0.00,0.00
462.00,4262.00,0.00,0.00
463.00,4249.00,0.00,0.00
464.00,4292.20,70.80,0.00
465.00,3572.20,871.80,0.00
466.00,2333.80,2485.20,0.00
467.00,1882.00,3444.00,0.00
468.00,1650.40,3816.60,0.00
469.00,1562.80,3913.20,0.00
470.00,1486.40,3855.60,0.00
471.00,1542.80,3616.20,0.00
472.00,2146.00,3015.00,0.00
473.00,3366.40,1674.60,0.00
474.00,4688.20,397.80,0.00
475.00,5692.40,21.60,0.00
476.00,6476.00,0.00,0.00
477.00,6510.00,0.00,0.00
478.00,6335.00,0.00,0.00
479.00,6003.00,0.00,0.00
480.00,5684.00,0.00,0.00
481.00,5257.00,0.00,0.00
482.00,4696.00,0.00,0.00
483.00,4360.00,0.00,0.00
484.00,4113.00,0.00,0.00
485.00,3962.00,0.00,0.00
486.00,3929.00,0.00,0.00
487.00,3935.00,0.00,0.00
488.00,3942.20,64.80,0.00
489.00,3111.60,770.40,0.00
490.00,1790.00,2310.00,0.00
491.00,1211.60,3311.40,0.00
