Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-06 16:00:00,1315.02,3920.90,0.00,0.00
2016-01-06 17:00:00,232.99,5096.94,0.00,0.00
2016-01-06 18:00:00,6.95,6264.00,0.00,0.00
2016-01-06 19:00:00,0.00,6619.33,0.00,0.00
2016-01-06 20:00:00,0.00,6717.02,0.00,0.00
2016-01-06 21:00:00,0.00,6514.26,0.00,0.00
2016-01-06 22:00:00,0.00,6244.21,0.00,0.00
2016-01-06 23:00:00,0.00,5938.23,0.00,0.00
2016-01-07 00:00:00,0.00,5441.45,0.00,0.00
2016-01-07 01:00:00,0.00,4899.52,0.00,0.00
2016-01-07 02:00:00,0.00,4407.36,0.00,0.00
2016-01-07 03:00:00,0.00,4168.65,0.00,0.00
2016-01-07 04:00:00,0.00,4034.09,0.00,0.00
2016-01-07 05:00:00,0.00,4006.44,0.00,0.00
2016-01-07 06:00:00,0.00,3986.16,0.00,0.00
2016-01-07 07:00:00,59.84,3983.46,0.00,0.00
2016-01-07 08:00:00,771.94,3194.86,0.00,0.00
2016-01-07 09:00:00,2290.70,1798.69,0.00,0.00
2016-01-07 10:00:00,3310.08,1263.17,0.00,0.00
2016-01-07 11:00:00,3732.78,1196.24,0.00,0.00
2016-01-07 12:00:00,3876.23,1276.75,0.00,0.00
2016-01-07 13:00:00,3848.52,1337.63,0.00,0.00
2016-01-07 14:00:00,3578.30,1412.47,0.00,0.00
2016-01-07 15:00:00,2803.43,2102.54,0.00,0.00
2016-01-07 16:00:00,1280.45,3561.01,0.00,0.00
2016-01-07 17:00:00,222.47,4706.54,0.00,0.00
2016-01-07 18:00:00,7.34,5743.79,0.00,0.00
2016-01-07 19:00:00,0.00,6156.66,0.00,0.00
2016-01-07 20:00:00,0.00,6268.18,0.00,0.00
2016-01-07 21:00:00,0.00,6319.79,0.00,0.00
2016-01-07 22:00:00,0.00,6080.16,0.00,0.00
2016-01-07 23:00:00,0.00,5655.28,0.00,0.00
2016-01-08 00:00:00,0.00,5104.13,0.00,0.00
2016-01-08 01:00:00,0.00,4576.02,0.00,0.00
2016-01-08 02:00:00,0.00,4301.37,0.00,0.00
2016-01-08 03:00:00,0.00,4121.64,0.00,0.00
2016-01-08 04:00:00,0.00,4055.28,0.00,0.00
2016-01-08 05:00:00,0.00,4014.73,0.00,0.00
2016-01-08 06:00:00,0.00,4157.59,0.00,0.00
2016-01-08 07:00:00,57.80,4591.03,0.00,0.00
2016-01-08 08:00:00,797.45,4742.62,0.00,0.00
2016-01-08 09:00:00,2337.01,4024.25,0.00,0.00
2016-01-08 10:00:00,3366.58,3367.95,0.00,0.00
2016-01-08 11:00:00,3763.50,3078.87,0.00,0.00
2016-01-08 12:00:00,3903.51,3004.30,0.00,0.00
2016-01-08 13:00:00,3847.37,2605.14,0.00,0.00
2016-01-08 14:00:00,3592.76,3062.52,0.00,0.00
2016-01-08 15:00:00,2821.96,4039.77,0.00,0.00
2016-01-08 16:00:00,1318.77,5485.81,0.00,0.00
2016-01-08 17:00:00,223.03,6588.01,0.00,0.00
2016-01-08 18:00:00,7.77,7184.83,0.00,0.00
2016-01-08 19:00:00,0.00,7354.81,0.00,0.00
