sit,,Mid,North,South
Production per timestep [MWh],,Gas plant,Gas plant,Gas plant
stf,t,,,
2019,55,19495.2708353,5000.0,1471.88350277
2019,56,20710.4145058,5000.0,1580.00651086
2019,57,20934.4141636,5000.0,1598.1205535
2019,58,20857.0163966,5000.0,1355.02920275
2019,59,20962.2798188,5000.0,1134.21056059
2019,60,20700.4518793,5000.0,1033.5049735
2019,61,20098.8150548,5000.0,980.531071201
2019,62,20323.9768446,5000.0,849.073744209
2019,63,20938.7508372,5000.0,981.72420633
2019,64,22083.2461317,5000.0,1297.803888
2019,65,23217.7214642,5000.0,1791.52974645
2019,66,22970.9091306,5000.0,2172.92561277
2019,67,22309.9429459,5000.0,2400.0
2019,68,21129.6961729,5000.0,2400.0
2019,69,20374.5806126,4852.65789466,2400.0
2019,70,19960.1438512,4591.33207658,2400.0
2019,71,18401.3491346,4318.00277594,2344.69106515
2019,72,16923.6043795,4117.69466083,2211.35826611
2019,73,16208.1120121,4034.92064573,1936.3977704
2019,74,15901.9299606,3979.40453892,1726.56758204
2019,75,15998.9730167,3928.63981062,1590.46981712
2019,76,16259.6761442,3949.89597764,1524.41785447
2019,77,16835.8492727,4118.44487849,1498.61150627
2019,78,18215.2698753,4463.5450019,1474.03403179
2019,79,20144.280855,4812.8963587,1493.38879294
2019,80,21334.099183,4967.94134168,1630.46548113
2019,81,21589.5796686,4972.69272019,1665.1627847
2019,82,21773.1282359,5000.0,1405.41195285
2019,83,22138.5614597,5000.0,1193.01077809
2019,84,21911.2551032,5000.0,1101.07739273
2019,85,21724.7730613,5000.0,1066.86873897
2019,86,21568.6282649,5000.0,910.671599337
2019,87,21851.5046292,5000.0,1044.90818953
2019,88,22439.9467738,5000.0,1331.48962749
2019,89,23321.7071139,5000.0,1840.3351417
2019,90,23161.7738963,5000.0,2246.75017311
2019,91,22517.648221,4946.93524721,2400.0
2019,92,21462.3205827,4794.14091721,2400.0
2019,93,20794.0431453,4580.57895679,2400.0
2019,94,20203.9656134,4310.50059934,2400.0
2019,95,18655.3265059,4053.67608722,2364.66026317
2019,96,17449.8147464,3872.62355871,2240.85123549
2019,97,16664.8228966,3791.85012403,1943.77101274
2019,98,16283.0561545,3743.33604871,1745.30790633
2019,99,16219.6418802,3757.09003913,1623.34218924
2019,100,16505.9669368,3826.61020892,1548.07367365
2019,101,17132.1028267,4004.41179424,1512.74355409
2019,102,18243.1337231,4408.27896764,1487.24442432
2019,103,20119.2994742,4805.89432721,1529.02613093
2019,104,21182.9298018,4964.19025338,1639.99065308
2019,105,21495.6782762,4979.44467913,1676.52664891
2019,106,21674.1951103,5000.0,1424.95481985
2019,107,21788.2769538,5000.0,1180.05280918
2019,108,21504.4442168,4930.87162494,1059.89177995
2019,109,20843.2633158,4886.01309108,1027.87879164
2019,110,20590.039917,4877.7231025,869.522068624
2019,111,20817.7296287,5000.0,986.907947853
2019,112,21840.9876263,5000.0,1269.90152961
2019,113,22688.7649485,5000.0,1729.00225424
2019,114,22298.0258952,5000.0,2071.58142978
2019,115,21378.6172846,4879.1655853,2353.56865991
2019,116,20137.7728974,4702.36429019,2400.0
2019,117,19394.3786015,4495.5542887,2400.0
2019,118,19075.5261415,4327.00538785,2340.69722555
2019,119,17710.5178739,4121.44574913,2244.53785666
2019,120,16379.1383882,3963.64996807,2152.37232737
2019,121,15497.4237565,3841.86463466,1913.04916964
2019,122,15045.5169837,3773.8449002,1745.30790633
2019,123,14965.4484556,3733.08307403,1617.19782062
2019,124,14985.9459988,3742.8359036,1537.32102857
2019,125,14647.4162618,3762.84170786,1465.73913415
2019,126,14262.1265045,3892.62936296,1428.565704
2019,127,14991.7109328,4045.42369296,1421.49968009
2019,128,15926.9113413,4173.71091275,1453.95201609
2019,129,16714.3068536,4314.75183275,1212.36230469
2019,130,17223.8937235,4415.26064092,837.399521183
2019,131,17517.7517782,4466.79804084,649.267248745
2019,132,17242.4084617,4448.82048881,573.266886522
2019,133,16612.770635,4453.74362914,561.235883781
2019,134,16367.0178976,4497.59507237,543.453343714
2019,135,16742.0081355,4645.61296098,564.091788875
2019,136,17930.4504885,4853.40811232,836.41062745
2019,137,19196.589756,4869.91290083,1306.96828519
2019,138,19212.2831875,4824.6497687,1698.97957011
2019,139,18656.6076023,4694.11189594,2087.99877025
2019,140,17489.2084622,4520.06139892,2206.44277122
2019,141,17027.0529178,4360.51510998,2239.0079249
2019,142,16986.6983797,4203.71961913,2171.41987009
2019,143,15786.3110059,4046.42398317,2081.40486981
2019,144,14562.543622,3900.38161211,1979.40835073
2019,145,13750.6487468,3797.8518653,1813.81761644
2019,146,13268.9564816,3744.58641147,1633.17317903
2019,147,13111.0613441,3740.33517807,1469.11853689
2019,148,13319.8800655,3757.84025679,1389.54896327
2019,149,13082.8772222,3789.09932594,1344.69507235
2019,150,12540.6531497,3889.62849232,1335.47851942
2019,151,13031.3130901,4009.91339041,1328.71971394
2019,152,13886.1246964,4125.69698254,1327.81971314
2019,153,14774.9251511,4230.97752743,1064.95430924
2019,154,15138.2597311,4398.07141404,599.562372839
2019,155,15857.0003063,4479.97879327,421.058145352
2019,156,15639.9987484,4512.53103735,398.745814099
2019,157,14737.853704,4505.50133406,425.58275121
2019,158,14759.0983627,4561.04040799,445.87797927
2019,159,15214.1124318,4731.12263381,470.822803659
2019,160,16428.7062222,4884.16703636,700.84827805
2019,161,18357.7918553,4891.66921296,1187.00322365
2019,162,18954.1422528,4857.90941828,1568.84698692
2019,163,18628.1032063,4783.88794253,1914.59571676
2019,164,17905.8850826,4675.606527,2052.21911887
2019,165,17642.9400362,4489.55254743,2089.39254902
2019,166,17857.2034175,4284.99319892,2106.59678115
2019,167,16587.3165613,4068.43036785,2026.7199891
2019,168,15345.293553,3913.13531232,1885.09229242
2019,169,14724.9225971,3830.86144232,1701.3756707
2019,170,14678.4828507,3788.59918083,1525.33950976
2019,171,14928.2966585,3801.35288105,1433.78841733
2019,172,15309.4228524,3850.36710147,1373.88082329
2019,173,16351.2745404,4023.41730828,1351.76109626
2019,174,18707.5311862,4513.80958509,1338.2434853
2019,175,21385.0227668,4962.18967296,1385.8623421
2019,176,22429.1312237,5000.0,1530.34261179
2019,177,22084.6626716,5000.0,1580.87393924
2019,178,21857.7493257,5000.0,1341.41782001
2019,179,22030.0550374,5000.0,1122.65070761
2019,180,21975.7050584,5000.0,1026.28851383
2019,181,21755.535338,5000.0,1001.43368634
2019,182,21832.1165694,5000.0,868.381130041
2019,183,22099.7890585,5000.0,1020.83854573
2019,184,22614.0911499,5000.0,1346.58953963
2019,185,23570.3490528,5000.0,1828.60403677
2019,186,23381.3237335,5000.0,2196.00242116
2019,187,22630.6138275,5000.0,2394.94293568
2019,188,21126.8895206,4927.42958806,2400.0
2019,189,20329.9502874,4691.86124296,2400.0
2019,190,19628.6395338,4435.28680339,2344.69106515
2019,191,17888.2700064,4125.44690998,2246.07394881
2019,192,16529.346947,3951.14634041,2126.56597917
2019,193,15892.3217372,3849.86695637,1848.53329914
2019,194,15669.731229,3822.85912062,1666.65998801
2019,195,15822.1817065,3831.11151488,1547.76645522
2019,196,16337.1824795,3883.8768236,1490.62382706
2019,197,17119.2918622,4059.67782849,1459.59476553
2019,198,19435.514244,4587.33091572,1445.46271771
2019,199,21851.1906658,5000.0,1492.77435608
2019,200,23001.2805882,5000.0,1589.74386945
2019,201,22694.2425821,5000.0,1635.68573205
2019,202,22806.5710556,5000.0,1391.95067786
2019,203,22916.836055,5000.0,1144.2126149
2019,204,22538.1161332,5000.0,1039.6581622
2019,205,21594.9407638,5000.0,1014.01349099
2019,206,21965.7287486,5000.0,861.052321271
2019,207,22589.4705813,5000.0,1004.44352607
2019,208,23249.0824777,5000.0,1311.61770014
2019,209,24150.908635,5000.0,1794.76776781
2019,210,23961.6791534,5000.0,2170.02047866
2019,211,23188.7169671,4992.44845189,2400.0
2019,212,21922.6748222,4800.89287615,2400.0
2019,213,20962.6698277,4558.82264466,2400.0
2019,214,20192.2439683,4245.48173551,2400.0
2019,215,18463.8025866,3953.89713849,2286.93400013
2019,216,17056.1978621,3766.59279615,2153.90841952
2019,217,16315.0835657,3680.3177653,1892.15831634
2019,218,16017.8691893,3651.55942169,1693.3879915
2019,219,16201.3862558,3641.05637445,1573.88002185
2019,220,16703.5760642,3684.81907126,1496.76819568
2019,221,17618.9194778,3870.87305083,1467.88966317
2019,222,19820.8040013,4368.01728658,1479.87118198
2019,223,22103.7178753,4889.16848743,1504.75587488
2019,224,22744.2396281,5000.0,1611.14376659
2019,225,20944.6304312,4974.19315551,1675.44816408
2019,226,20088.6916153,5000.0,1447.80973636
2019,227,19823.0587136,4997.71982054,1213.18745587
2019,228,19380.1303514,4982.87208881,1142.39347367
2019,229,19053.6207931,4982.92011882,1121.01756362
2019,230,19590.6303961,5000.0,989.377785136
2019,231,20975.1384821,5000.0,1169.51786452
2019,232,22864.5627498,5000.0,1500.38800103
2019,233,24293.6545375,5000.0,1961.85494021
2019,234,24112.9484288,5000.0,2214.31268125
2019,235,23265.927297,5000.0,2400.0
2019,236,22000.728543,4946.43510211,2400.0
2019,237,21267.4524618,4761.38141275,2400.0
2019,238,20473.0781269,4515.31002041,2400.0
2019,239,18678.0659679,4234.97868828,2299.5299558
2019,240,17654.4699043,4047.42427339,2166.50437519
2019,241,17053.6356692,3983.40569977,1879.8695791
2019,242,16832.3262574,3970.90207211,1683.24978328
2019,243,16979.9726233,3986.90671551,1564.97068735
2019,244,17233.9499945,4055.9267402,1510.9002435
2019,245,17971.5412756,4259.48579849,1471.88350277
2019,246,19957.2407732,4775.13540317,1470.96184748
2019,247,22501.8301669,5000.0,1504.44865645
2019,248,23326.4878002,5000.0,1615.05461738
2019,249,22795.7983476,5000.0,1721.75596009
2019,250,22639.7664078,5000.0,1649.05809864
2019,251,22746.7351407,5000.0,1490.10127307
2019,252,22648.5131671,5000.0,1373.76124347
2019,253,22647.6109362,5000.0,1316.99471782
2019,254,23057.7971916,5000.0,1132.37487756
2019,255,23758.6634149,5000.0,1259.31836619
2019,256,24265.4160794,5000.0,1523.78814747
2019,257,25197.6071127,5000.0,1866.63304962
2019,258,24753.3085865,5000.0,2122.24278775
2019,259,23845.3919128,5000.0,2340.02201666
2019,260,22427.0849158,5000.0,2400.0
2019,261,21452.9285671,4910.17458189,2400.0
2019,262,20584.9780338,4608.8371553,2366.81079218
2019,263,19046.3811972,4326.00509764,2285.39790798
2019,264,17832.5423108,4126.9473453,2160.36000657
2019,265,17187.1899741,4049.17478126,1875.26130263
2019,266,16960.4359024,4037.17129871,1681.40647269
2019,267,17092.0685627,4062.92877168,1573.26558499
2019,268,17510.6668277,4133.44923168,1517.35183055
2019,269,18189.3276722,4321.25371913,1482.02171099
2019,270,20235.558977,4822.39911572,1470.96184748
2019,271,22911.2863966,5000.0,1505.37031175
2019,272,23615.9997652,5000.0,1614.81582476
2019,273,22871.9559149,5000.0,1636.47823637
2019,274,22141.2210705,5000.0,1420.42033725
2019,275,21856.3713247,5000.0,1187.81658677
2019,276,21380.3552516,5000.0,1046.93049442
2019,277,20292.0544699,5000.0,991.621227012
2019,278,20525.8079634,5000.0,836.46500099
2019,279,21454.6738956,5000.0,987.762952786
2019,280,22741.6535898,5000.0,1243.4950264
2019,281,23966.4181325,5000.0,1678.06816673
2019,282,23722.7765512,5000.0,2033.78982444
2019,283,22710.3139363,5000.0,2294.41650925
2019,284,21298.7284745,4807.39476253,2400.0
2019,285,20481.0006609,4589.0814236,2400.0
2019,286,20100.7235757,4375.76953573,2318.88471695
2019,287,18809.6986281,4143.95227892,2227.94806138
2019,288,17677.5296404,3953.89713849,2120.42161055
2019,289,16907.2703997,3841.114417,1889.70056889
2019,290,16445.1148554,3779.34649637,1709.67056834
2019,291,16460.8082869,3738.08452509,1582.17491949
2019,292,16585.0746426,3755.58960381,1491.54548235
2019,293,16435.1863579,3804.85389679,1452.83596005
2019,294,16421.4145711,3945.14459913,1424.87908283
2019,295,17480.240787,4103.19045275,1428.565704
2019,296,18598.9582621,4264.48724956,1454.64682803
2019,297,19150.6914185,4400.52671849,1209.68340479
2019,298,19378.4420044,4450.57831027,811.001364316
2019,299,19285.1161213,4462.23775601,629.711401609
2019,300,18741.8463556,4428.62936494,546.129905871
2019,301,17179.0259484,4399.85848989,532.207706943
2019,302,16792.3034116,4416.19724759,508.002565253
2019,303,17348.4638125,4614.69741548,526.266158059
2019,304,18231.1962354,4899.42146211,741.963309553
2019,305,19805.751118,4993.69881466,1191.74259851
2019,306,19977.7383164,4929.18009594,1623.47893167
2019,307,19285.9462334,4794.89113487,2042.03194731
2019,308,18042.6421286,4638.59578913,2187.70244693
2019,309,17473.5150307,4460.2940587,2222.72534806
2019,310,17573.7608279,4289.24443232,2177.56423871
2019,311,16504.0452921,4122.44603934,2086.62758314
2019,312,15402.9428933,3947.89539722,1981.86609818
2019,313,14757.5905565,3862.87072913,1765.27710435
2019,314,14593.2899368,3797.60179275,1600.91524378
2019,315,14630.4417339,3762.84170786,1448.84212045
2019,316,14921.5709021,3760.59105488,1369.57976526
2019,317,14752.7864449,3795.10106722,1352.98996999
2019,318,14246.7533471,3906.13328083,1332.09911668
2019,319,14691.6140894,3984.65606254,1333.94242727
2019,320,15399.7410503,4095.4382036,1297.60415956
2019,321,16124.9233869,4191.71613658,1054.5612511
2019,322,16450.9441241,4284.11873627,622.142320938
2019,323,16603.9444104,4328.11114742,460.003055105
2019,324,16016.6463336,4328.41395466,403.191242121
2019,325,14404.3779933,4288.31881757,462.165320166
2019,326,14301.2307979,4323.32427035,483.142385177
2019,327,15143.9224638,4462.16308055,480.33686979
2019,328,16611.3850638,4680.95150171,687.441797878
2019,329,18653.4048612,4750.12814785,1086.98092611
2019,330,19521.6679802,4763.13192062,1543.95939397
2019,331,19252.3174516,4704.11479806,1952.73290318
2019,332,18491.9867085,4597.0837453,2088.47089373
2019,333,18231.2835809,4424.03353849,2129.94538191
2019,334,18313.5940278,4251.48347679,2134.8608768
2019,335,17140.4299537,4065.42949722,2063.58620082
2019,336,16196.5821441,3954.89742871,1926.5667806
2019,337,15659.8027315,3922.63806934,1667.5816433
2019,338,15473.7234721,3916.13618296,1524.41785447
2019,339,15549.9487109,3921.13763403,1427.02961185
2019,340,15925.3099708,3991.40802147,1383.40459465
2019,341,16738.4859425,4191.96620913,1361.59208605
2019,342,19219.9697662,4686.85979189,1371.73029428
2019,343,21988.7625589,5000.0,1398.45829777
2019,344,22722.2946329,5000.0,1551.69615933
2019,345,20294.2687248,5000.0,1589.28766831
2019,346,19026.6678614,5000.0,1308.36228322
2019,347,18249.163349,5000.0,1124.92309837
2019,348,17656.4923751,5000.0,1059.40821234
2019,349,16928.6046421,5000.0,1041.9492657
2019,350,17519.5065863,5000.0,897.807438741
2019,351,19045.4967751,5000.0,1015.36148761
2019,352,21672.3864952,5000.0,1275.30686638
2019,353,23735.9128108,5000.0,1755.98149442
2019,354,23734.6234744,5000.0,2203.58905814
2019,355,22994.2608614,5000.0,2400.0
2019,356,21631.9216965,4898.67124445,2400.0
2019,357,20660.7533461,4702.36429019,2400.0
2019,358,19930.2692747,4435.28680339,2400.0
2019,359,18338.8956827,4132.94908658,2322.57133812
2019,360,17209.2888879,3914.8858202,2180.94364145
2019,361,16571.3028557,3839.36390913,1887.8572583
2019,362,16300.6712306,3785.5983102,1688.4724966
2019,363,16376.5761953,3796.10135743,1570.50061911
2019,364,16765.709242,3849.11673871,1510.28580664
2019,365,17635.2534575,4018.91600232,1483.25058472
2019,366,19901.1928036,4494.05385338,1472.49793963
2019,367,22177.3809212,4977.94424381,1483.86502158
2019,368,22494.6379223,5000.0,1588.79971622
2019,369,21084.4051353,5000.0,1620.71394001
2019,370,20317.8729675,4978.76443226,1363.76382295
2019,371,19820.2524744,4915.30605202,1144.80711556
2019,372,19234.4615025,4836.76030319,1044.78854604
2019,373,19343.4815896,4818.78796901,1026.11776184
2019,374,19797.6475661,4884.16861894,870.072411694
2019,375,20781.6695994,5000.0,1016.40104749
2019,376,22399.7587293,5000.0,1302.54998464
2019,377,23886.7841884,5000.0,1774.58422252
2019,378,23835.8904679,5000.0,2198.9426013
2019,379,23043.3350115,5000.0,2400.0
2019,380,21714.1185877,4996.94975785,2400.0
2019,381,20843.3225127,4803.89374679,2400.0
2019,382,19956.4977497,4511.80900466,2400.0
2019,383,18216.2306976,4219.22411743,2321.03524597
2019,384,16905.9893033,4050.67521658,2171.72708852
2019,385,16095.6957986,3987.40686062,1896.15215594
2019,386,15717.1317976,3968.90149169,1692.77355464
2019,387,15890.0798184,3997.90990786,1581.86770106
2019,388,16458.8866422,4088.93631722,1518.27348585
2019,389,17308.8941368,4292.99552062,1500.14759842
2019,390,19690.7727116,4817.89780977,1490.62382706
2019,391,22552.2019616,5000.0,1509.05693292
2019,392,23108.3271531,5000.0,1621.57313594
2019,393,22551.2707618,5000.0,1635.04337719
2019,394,22141.763216,5000.0,1337.32310683
2019,395,21883.0361243,5000.0,1135.11998032
2019,396,21468.5156394,5000.0,1050.18013187
2019,397,20754.30584,5000.0,1013.72358471
2019,398,21236.9287335,5000.0,850.476291041
2019,399,22189.6420106,5000.0,972.684825396
2019,400,23277.2512731,5000.0,1239.58023952
2019,401,24543.8795039,5000.0,1713.15028841
2019,402,24600.5173662,5000.0,2138.00230974
2019,403,23759.5491173,5000.0,2369.62962087
2019,404,22508.6035639,5000.0,2400.0
2019,405,21560.2883992,4844.65557296,2400.0
2019,406,20748.6381053,4536.56618743,2386.16555333
2019,407,18892.009075,4247.98246105,2289.39174758
2019,408,17373.5895076,4074.93225424,2140.08359013
2019,409,16450.8797894,4007.16259232,1883.8634187
2019,410,15960.219849,3976.15359573,1696.76739424
2019,411,16146.6193825,3984.15591743,1584.93988537
2019,412,16333.018916,4039.92209679,1524.41785447
2019,413,17111.9255576,4243.73122764,1477.1062161
2019,414,19421.1019089,4730.37241615,1470.34741062
2019,415,21999.8517286,5000.0,1502.9125643
2019,416,22528.8398742,5000.0,1626.621843
2019,417,22592.6944418,5000.0,1656.48197014
2019,418,22859.675302,5000.0,1376.41677061
2019,419,23204.2432042,5000.0,1144.35660487
2019,420,23292.2159701,5000.0,1019.25679138
2019,421,23156.4388964,5000.0,1000.10212188
2019,422,23382.6358618,5000.0,824.529217468
2019,423,23546.3969461,5000.0,937.377578634
2019,424,23702.8054936,5000.0,1218.1783378
2019,425,24402.216265,5000.0,1702.15969415
2019,426,23714.2315549,5000.0,2122.84074043
2019,427,22458.1948791,5000.0,2339.91382246
2019,428,20972.1831825,5000.0,2400.0
2019,429,19755.1854202,4912.67530743,2400.0
2019,430,18907.3822324,4636.0950636,2390.7738298
2019,431,17232.0283498,4336.50814487,2287.24121856
2019,432,16322.1295962,4130.6984336,2129.94538191
2019,433,15828.9074629,4085.43530147,1877.10461322
2019,434,15729.622488,4082.18435828,1690.00858876
2019,435,15982.3187628,4089.43646232,1575.72333244
2019,436,16534.4713328,4144.70249658,1505.37031175
2019,437,17275.265355,4328.00567807,1487.24442432
2019,438,19359.6092793,4857.15920062,1482.63614785
2019,439,22288.235334,5000.0,1512.43633566
2019,440,23115.7894596,5000.0,1623.66830785
2019,441,22897.6779905,5000.0,1619.49827556
2019,442,22920.841476,5000.0,1345.42645175
2019,443,23097.4789331,5000.0,1124.78629876
2019,444,22696.624958,5000.0,1011.14869272
2019,445,22155.9069662,5000.0,970.632681321
2019,446,21830.9359848,5000.0,802.488282647
2019,447,22037.9385648,5000.0,914.247891462
2019,448,22585.5285506,5000.0,1167.83928186
2019,449,24006.3416293,5000.0,1602.20597847
2019,450,24017.5368689,5000.0,1971.34107242
2019,451,22894.537978,5000.0,2213.93312156
2019,452,21132.8945484,5000.0,2367.42522904
2019,453,20070.9380832,4878.66544019,2369.26853963
2019,454,19614.867747,4708.86617658,2282.6329421
2019,455,18114.0632557,4520.06139892,2195.3829077
2019,456,16590.8395766,4356.26387658,2079.2543408
2019,457,15569.4854318,4271.7393536,1857.74985207
2019,458,15066.6550751,4236.97926871,1687.24362288
2019,459,15037.5101309,4238.22963147,1566.19956108
2019,460,15268.427766,4269.23862807,1482.02171099
2019,461,15188.0389638,4326.00509764,1432.55954361
2019,462,15409.3483755,4470.29696083,1420.5780248
2019,463,16697.1705819,4673.60594658,1416.27696677
2019,464,17871.6205428,4882.41652849,1430.80631332
2019,465,19040.5792806,5000.0,1190.85458306
2019,466,19573.0155157,5000.0,778.05776522
2019,467,19864.5161582,5000.0,627.487453593
2019,468,19428.4772619,5000.0,550.291779694
2019,469,18442.2242124,5000.0,520.819996229
2019,470,18151.8482639,5000.0,495.429716673
2019,471,18623.5288712,5000.0,514.485579506
2019,472,19339.2586047,5000.0,715.461540264
2019,473,20840.2998203,5000.0,1122.20149259
2019,474,21018.5994296,5000.0,1562.69248104
2019,475,19992.0522851,5000.0,1897.50733261
2019,476,18599.5988103,4875.91464211,2158.82391442
2019,477,17998.4443011,4703.36458041,2169.88377793
2019,478,17984.6725143,4521.06168913,2111.81949448
2019,479,16886.4525824,4339.25894296,2000.9136409
2019,480,15714.2493306,4186.21454041,1894.61606378
2019,481,14900.7530848,4097.18871147,1752.37393025
2019,482,14641.9716019,4045.42369296,1565.27790579
2019,483,14739.6552062,4042.92296743,1453.45039691
2019,484,14911.0018564,4047.42427339,1371.11585741
2019,485,14687.1302518,4103.4405253,1320.73203473
2019,486,14072.844504,4219.22411743,1309.67217122
2019,487,14444.6827486,4333.50727424,1311.51548181
2019,488,15088.5608833,4461.79449402,1314.21369845
2019,489,15706.7245553,4605.75536501,1037.18072696
2019,490,16293.3323189,4722.80394709,596.898691947
2019,491,16967.7211262,4795.42314328,403.75500768
2019,492,16636.021296,4805.69857192,366.333709913
2019,493,15486.4878161,4789.58533706,387.196785789
2019,494,15259.751453,4835.04110239,385.705830079
2019,495,15965.2023326,4968.99958442,404.321777761
2019,496,17248.4455023,5000.0,582.648573178
2019,497,19237.5018625,5000.0,978.232370191
2019,498,20070.5876716,5000.0,1413.19094856
2019,499,19635.4616914,5000.0,1804.95024235
2019,500,18666.8848698,5000.0,2010.74463069
2019,501,18226.1591951,4986.44671062,2067.88725885
2019,502,18390.1395407,4773.3848953,2058.36348749
2019,503,17226.2634158,4581.82931955,1997.53423816
2019,504,16326.2931596,4467.04601764,1850.99104659
2019,505,15715.5304271,4426.03411892,1646.69078999
2019,506,15490.0574519,4403.52758913,1508.13527763
2019,507,15746.597016,4439.78810934,1394.7716766
2019,508,16182.4900831,4546.06894445,1349.61056725
2019,509,17179.1831213,4785.6384504,1340.39401432
2019,510,19897.5573299,5000.0,1333.94242727
2019,511,22839.5186133,5000.0,1370.50142055
2019,512,23101.8343698,5000.0,1515.37712496
2019,513,22633.8992718,5000.0,1538.58169449
2019,514,22290.0880453,5000.0,1308.06473348
2019,515,22217.2790107,5000.0,1131.61129118
2019,516,21904.4893077,5000.0,1054.52488406
2019,517,21743.7134559,5000.0,1045.85802335
2019,518,22099.3760754,5000.0,886.073214943
2019,519,22839.0822132,5000.0,1039.90933096
2019,520,23593.2246421,5000.0,1276.97458784
2019,521,24913.8339523,5000.0,1711.37750194
2019,522,25058.4160304,5000.0,2159.97369931
2019,523,24226.0700165,5000.0,2349.02348806
2019,524,22741.1296984,5000.0,2400.0
2019,525,21499.5619326,5000.0,2400.0
2019,526,20570.0158196,5000.0,2400.0
2019,527,18584.7207217,5000.0,2331.78789105
2019,528,17449.4944722,4971.19228487,2173.26318067
2019,529,16877.4849073,4900.67182487,1905.98314573
2019,530,16581.8719014,4877.41507743,1719.1943397
2019,531,16584.4340943,4892.91957572,1611.36067043
2019,532,16848.0196889,4957.688367,1526.26116505
2019,533,17758.4652605,5000.0,1483.25058472
2019,534,20412.4656173,5000.0,1490.62382706
2019,535,23176.964147,5000.0,1524.41785447
2019,536,23341.6508631,5000.0,1633.18414427
2019,537,22325.8043706,5000.0,1646.4601722
2019,538,22114.6784927,5000.0,1426.83920054
2019,539,22004.8564966,5000.0,1277.90010657
2019,540,21819.8972948,5000.0,1188.17442964
2019,541,21204.3021123,5000.0,1197.34514326
2019,542,21598.7072595,5000.0,1043.30637386
2019,543,22298.3341595,5000.0,1143.11755218
2019,544,23127.0737216,5000.0,1367.1101533
2019,545,24560.5584861,5000.0,1760.3880809
2019,546,24717.6846649,5000.0,2191.65906439
2019,547,23955.5654234,5000.0,2400.0
2019,548,22794.6931172,5000.0,2400.0
2019,549,21797.8982551,5000.0,2400.0
2019,550,20955.1703258,5000.0,2400.0
2019,551,19263.0989338,5000.0,2400.0
2019,552,18303.0249821,4866.91203019,2252.83275429
2019,553,17720.7666455,4793.89084466,1953.60200253
2019,554,17247.4015072,4775.63554828,1749.30174594
2019,555,17065.1655372,4796.8917153,1630.40821315
2019,556,17230.4269793,4876.41478721,1577.56664302
2019,557,18047.590848,5000.0,1521.03845173
2019,558,20635.8311287,5000.0,1523.8034176
2019,559,23371.0218741,5000.0,1566.19956108
