,Mid,Mid,South,South,North,North
,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2015-07-14 15:00:00,33003.9516526,15092.892920485352,2215.30028806,2880.531826416318,8088.30355034,810.778327491392
2015-07-14 16:00:00,37122.8269594,11195.0067513003,2704.86863049,2276.67822766695,8324.53434998,609.8077578580479
2015-07-14 17:00:00,40600.6710649,6706.37754672775,3660.26334723,1288.103920378104,8373.08229823,384.20844194610396
2015-07-14 18:00:00,42575.9807312,2738.3223523399997,4695.02362018,290.209859147922,8370.81907075,220.673566656224
2015-07-14 19:00:00,44519.4233808,87.71446232955,4997.81122738,27.975084835806,8327.2703917,104.425884221248
2015-07-14 20:00:00,45438.2491651,0.0,5155.73970852,0.0,8423.98893468,35.465394641180005
2015-07-14 21:00:00,42627.8438277,0.0,5516.10692804,0.0,8208.73754101,6.896048958008
2015-07-14 22:00:00,39346.635545,0.0,5210.1173708,0.0,7822.04967197,1.970299702288
2015-07-14 23:00:00,37099.2720975,0.0,4851.59346186,0.0,7616.25510105,2.955449553432
2015-07-15 00:00:00,35957.8151605,0.0,4417.4938189,0.0,7463.34696175,11.821798213728
2015-07-15 01:00:00,35193.9614021,0.0,4103.20936402,0.0,7344.19079037,36.450544492324
2015-07-15 02:00:00,34789.455198,0.0,3950.2145854,0.0,7056.84177322,67.97533972892799
2015-07-15 03:00:00,33807.494769,0.0,3874.63885138,0.0,6931.72145488,111.32193317925599
2015-07-15 04:00:00,32676.5179895,1781.4535020415499,3752.98035271,0.0,6985.58367006,231.510215018808
2015-07-15 05:00:00,33265.8663104,4028.4527216111996,3723.8860358,22.642729864278,7052.49405274,419.67383658728403
2015-07-15 06:00:00,32303.026138,8045.7471050351505,3279.10050259,277.56727273174204,7191.16691825,656.109800861808
2015-07-15 07:00:00,30336.2289735,12496.2700121495,2486.14537166,1193.102557621218,7400.73143921,900.4269639454841
2015-07-15 08:00:00,27996.9443011,16486.247460467297,1581.42093744,2414.8764125967778,7515.87503077,1119.13023089942
2015-07-15 09:00:00,26855.9404127,19478.755993315,1033.31680801,3246.85037224989,7573.55569611,1292.51660470074
2015-07-15 10:00:00,24148.1906565,21117.11048783975,950.203947615,3602.7731993407438,7485.49051038,1403.838537879996
2015-07-15 11:00:00,21858.2842561,21894.68252886225,913.318523634,3795.41836782261,7315.6218322,1480.680226269216
2015-07-15 12:00:00,20562.4643091,21974.10139655315,882.143269809,3825.67196635545,7181.06663188,1544.714966593568
2015-07-15 13:00:00,21060.4541746,20871.75428076645,747.59393664,3709.531059853854,7182.17393097,1486.59112537608
2015-07-15 14:00:00,23276.1998009,18833.760786855,851.151503059,3504.591411215076,7292.14734562,1352.6107456205161
2015-07-15 15:00:00,27747.8766815,15661.1157066238,1188.04401103,3146.5008315096843,7543.29948304,1129.9668792620039
2015-07-15 16:00:00,33386.9217302,11429.6753824588,1670.14696906,2573.153999481714,7812.81392572,849.199171686004
2015-07-15 17:00:00,38420.5128682,6786.17811355845,2843.72588271,1452.1094375292,8117.3160719,550.698766789416
2015-07-15 18:00:00,42251.2659654,2646.0402236372997,4042.75897711,334.182008898324,8308.46645009,296.5301051943
2015-07-15 19:00:00,45528.5807014,35.5361899168,4476.31634175,32.421351147378,8364.29575676,137.92097916014
2015-07-15 20:00:00,47355.0897285,0.0,4629.47453627,0.0,8540.22725083,32.509945087748
2015-07-15 21:00:00,44149.7864104,0.0,5096.75376977,0.0,8270.25538909,6.896048958008
2015-07-15 22:00:00,41141.4516715,0.0,4929.93416175,0.0,7839.06974594,2.955449553432
2015-07-15 23:00:00,39457.1301138,0.0,4504.12941643,0.0,7652.78083418,3.940599404576
2015-07-16 00:00:00,38507.8376443,0.0,4190.76661684,0.0,7543.9006046,13.792097916016
2015-07-16 01:00:00,38828.7523051,0.0,3929.93816895,0.0,7411.66495865,33.495094938892
2015-07-16 02:00:00,39763.6324395,0.0,3833.1643632,0.0,7162.76655324,61.079290770920004
2015-07-16 03:00:00,42524.0750153,0.0,3726.25234922,0.0,7208.86971885,132.010080053276
2015-07-16 04:00:00,48664.123594,1633.9649544169,3739.15552332,0.0,7716.14375369,254.16866159511596
2015-07-16 05:00:00,53392.6299346,3962.6986831256995,3853.77599948,26.392783657308,8453.71112971,423.61443599186
2015-07-16 06:00:00,53346.5747566,7928.90899833765,3701.97238323,323.817936179172,8878.61788652,702.411843865572
2015-07-16 07:00:00,50128.0281926,12401.328712772749,3399.59312946,1287.945690260256,8993.04102796,955.59535560954
2015-07-16 08:00:00,47192.9669321,16463.434575211,3137.64148381,2527.7736016824542,8981.43542937,1193.016469735212
2015-07-16 09:00:00,45212.6149187,19528.555007756248,2650.46518124,3367.943881440174,8858.58616527,1384.13554085712
2015-07-16 10:00:00,42633.2792034,21372.8616348207,2474.38667515,3752.3164837203835,8727.10702422,1485.605975524936
2015-07-16 11:00:00,41231.3597083,22190.60114865645,2423.67712465,3926.527843472772,8604.09326883,1535.848617933272
2015-07-16 12:00:00,39986.9053981,22168.69161803105,1988.19205443,3951.8763083522763,8383.27715167,1665.8883982842601
2015-07-16 13:00:00,40355.0254663,21125.1134464712,2177.72091756,3844.374766285272,8415.64454626,1542.74466689128
2015-07-16 14:00:00,41053.1893875,19039.522069824798,2562.21112265,3591.681268079484,8429.32540074,1375.2691921968242
2015-07-16 15:00:00,43882.5063586,15797.051493616702,2928.47884114,3209.745409614162,8657.93341406,1133.90747866658
2015-07-16 16:00:00,47557.0371896,11529.693280395099,3569.92666619,2497.330127008194,8778.12477493,818.6595263005439
2015-07-16 17:00:00,51545.289951,6705.5250853155,4412.24806305,1468.834360985898,8811.94243602,513.2630724459481
2015-07-16 18:00:00,53329.3289523,2463.7025445475,5382.7578327,358.23298681146,8761.93934436,269.931059213416
2015-07-16 19:00:00,54668.1437547,56.4533027787,5664.02937708,32.721988371294,8755.91720182,122.15858154184001
2015-07-16 20:00:00,53319.8748,0.0,5654.35522198,0.0,8852.37104507,19.702997022875998
2015-07-16 21:00:00,48432.1715689,0.0,5959.42312393,0.0,8443.22989409,1.970299702288
2015-07-16 22:00:00,44658.061427,0.0,5588.91769618,0.0,7884.03738443,0.0
2015-07-16 23:00:00,42932.4245087,0.0,5070.02576628,0.0,7610.48829197,1.970299702288
2015-07-17 00:00:00,41885.1281608,0.0,4586.1567375,0.0,7513.84647714,10.836648362584
2015-07-17 01:00:00,41959.1114808,0.0,4281.08883555,0.0,7415.60555805,29.554495534316
2015-07-17 02:00:00,42768.123889,0.0,4200.90482507,0.0,7206.42326752,54.183241812912
2015-07-17 03:00:00,45281.635124,0.0,4116.11253812,0.0,7248.13162288,99.50013496552799
2015-07-17 04:00:00,50989.8249029,1356.736869169,4101.36605343,0.0,7796.44052357,206.881468740212
2015-07-17 05:00:00,54764.1888303,3650.9268257245,4134.02250057,26.329491610170003,8501.37734478,368.446044327804
2015-07-17 06:00:00,54161.4448566,7256.24060424105,3808.53936812,347.204347597344,8718.07913414,686.649446247268
2015-07-17 07:00:00,50860.0880279,11550.12690767985,3406.14649631,1419.640617346464,8924.56759582,893.5309149874801
2015-07-17 08:00:00,48575.38009,15371.189763324699,3056.98793781,2704.2792981436683,8994.9565403,1063.961839235364
2015-07-17 09:00:00,46658.7527713,18401.41017118615,2609.54112469,3455.872357929186,8978.81358095,1185.13527092606
2015-07-17 10:00:00,43853.8622846,20403.053183682503,2464.38456367,3813.931291611012,8941.91511285,1273.7987575290078
2015-07-17 11:00:00,42131.6088121,21314.3726032963,2457.34232393,3950.9269276451823,8926.81991749,1267.887858422144
2015-07-17 12:00:00,40329.4593267,22018.3021569438,2045.67914939,3943.2369439176896,8828.27516483,1331.922598746496
2015-07-17 13:00:00,40475.7701958,20920.7771736234,2400.8224162,3802.8393603497575,8768.98756846,1184.150121074916
2015-07-17 14:00:00,40933.5135603,18898.8150435842,2615.77214265,3638.5806750101037,8795.42994992,1000.9122487621601
2015-07-17 15:00:00,43754.4625705,15596.49404225305,2946.00428725,3257.6574892990143,8852.09402917,766.4465841899199
