sit,,Mid,Mid,Mid,North,North,North,South,South,South
Production per timestep [MWh],,Curtailment,Gas plant,Photovoltaics,Curtailment,Gas plant,Photovoltaics,Curtailment,Gas plant,Photovoltaics
stf,t,,,,,,,,,
2019,38,0.0,62021.7748937,1669.11944519,0.0,15000.0,105.411034072,0.0,2134.32301972,3870.26121357
2019,39,0.0,62959.4816902,842.524511314,0.0,15000.0,7.88119880915,0.0,2474.20256256,3601.34912828
2019,40,0.0,65621.0368864,12.2907123021,0.0,15000.0,0.0,0.0,3368.71745283,2798.078112
2019,41,0.0,67967.9544142,0.0,0.0,15000.0,0.0,0.0,4825.90916978,1259.78072928
2019,42,0.0,67348.4613124,0.0,0.0,15000.0,0.0,0.0,5993.42982248,197.32877997
2019,43,0.0,64795.2253983,0.0,0.0,15000.0,0.0,0.0,6944.04349161,5.23741690082
2019,44,0.0,60934.8289727,0.0,0.0,14834.8040004,0.0,0.0,7200.0,0.0
2019,45,0.0,59128.0458305,0.0,0.0,14230.1285667,0.0,0.0,7174.16479998,0.0
2019,46,0.0,58004.8445179,0.0,0.0,13585.6915972,0.0,0.0,7003.65857079,0.0
2019,47,0.0,53479.371308,0.0,0.0,12808.4661019,0.0,0.0,6697.66901355,0.0
2019,48,0.0,49534.23479,0.0,0.0,12219.5452391,0.0,0.0,6387.99283513,0.0
2019,49,0.0,47558.784064,0.0,0.0,11957.7192759,0.0,0.0,5597.21259382,0.0
2019,50,0.0,46482.663046,0.0,0.0,11926.2101342,0.0,0.0,4916.10933236,0.0
2019,51,0.0,46549.9206096,0.0,0.0,11968.9725408,0.0,0.0,4581.54846104,0.0
2019,52,0.0,47392.5617996,0.0,0.0,12152.7758674,0.0,0.0,4384.31422835,0.0
2019,53,0.0,49123.9636519,0.0,0.0,12638.9169108,0.0,0.0,4327.17160019,0.0
2019,54,0.0,52818.3255398,0.0,0.0,13928.5410676,0.0,0.0,4314.26842609,0.0
2019,55,0.0,58485.8125058,0.0,0.0,15000.0,0.0,0.0,4415.65050831,0.0
2019,56,0.0,62131.2435175,0.0,0.0,15000.0,0.0,0.0,4740.01953258,58.1179222862
2019,57,0.0,62803.2424907,580.653454792,0.0,15000.0,0.0,0.0,4794.36166051,782.57451686
2019,58,0.0,62571.0491897,2137.19710035,0.0,15000.0,49.2574925572,0.0,4065.08760825,2324.74853747
2019,59,0.0,62886.8394563,3137.27429327,0.0,15000.0,90.6337863052,0.0,3402.63168176,3345.72837289
2019,60,0.0,62101.355638,3517.54842297,0.0,15000.0,96.5446854121,0.0,3100.51492049,3753.83549285
2019,61,0.0,60296.4451644,4699.47980941,0.0,15000.0,75.8565385381,0.0,2941.5932136,3895.24574917
2019,62,0.0,60971.9305339,3424.87187182,0.0,15000.0,26.5990459809,0.0,2547.22123263,3854.5964319
2019,63,0.0,62816.2525117,1612.65341911,0.0,15000.0,0.985149851144,0.0,2945.17261899,3594.89333947
2019,64,0.0,66249.7383951,333.159732535,0.0,15000.0,0.0,0.0,3893.41166401,2813.47390247
2019,65,0.0,69653.1643925,0.0,0.0,15000.0,0.0,0.0,5374.58923935,1299.11673658
2019,66,0.0,68912.7273919,0.0,0.0,15000.0,0.0,0.0,6518.77683832,209.306799891
2019,67,0.0,66929.8288377,0.0,0.0,15000.0,0.0,0.0,7200.0,5.886160384
2019,68,0.0,63389.0885186,0.0,0.0,15000.0,0.0,0.0,7200.0,0.0
2019,69,0.0,61123.7418378,0.0,0.0,14557.973684,0.0,0.0,7200.0,0.0
2019,70,0.0,59880.4315535,0.0,0.0,13773.9962297,0.0,0.0,7200.0,0.0
2019,71,0.0,55204.0474039,0.0,0.0,12954.0083278,0.0,0.0,7034.07319546,0.0
2019,72,0.0,50770.8131385,0.0,0.0,12353.0839825,0.0,0.0,6634.07479834,0.0
2019,73,0.0,48624.3360364,0.0,0.0,12104.7619372,0.0,0.0,5809.19331119,0.0
