sit,,South
Production per timestep [MWh],,Gas plant
stf,t,
2019,343,839.074978662
2019,344,931.017695598
2019,345,953.572600987
2019,346,785.017369935
2019,347,674.953859022
2019,348,635.644927403
2019,349,625.169559419
2019,350,538.684463245
2019,351,609.216892564
2019,352,765.184119831
2019,353,1053.58889665
2019,354,1322.15343488
2019,355,1454.60373984
2019,356,1512.62066672
2019,357,1506.16907967
2019,358,1464.69459149
2019,359,1393.54280287
2019,360,1308.56618487
2019,361,1132.71435498
2019,362,1013.08349796
2019,363,942.300371467
2019,364,906.171483985
2019,365,889.95035083
2019,366,883.49876378
2019,367,890.319012947
2019,368,953.279829734
2019,369,972.428364006
2019,370,818.258293769
2019,371,686.884269334
2019,372,626.873127622
2019,373,615.670657103
2019,374,522.043447017
2019,375,609.840628492
2019,376,781.529990782
2019,377,1064.75053351
2019,378,1319.36556078
2019,379,1457.41379427
2019,380,1517.22894318
2019,381,1511.88334248
2019,382,1458.79599761
2019,383,1392.62114758
2019,384,1303.03625311
2019,385,1137.69129356
2019,386,1015.66413278
2019,387,949.120620635
2019,388,910.964091508
2019,389,900.088559052
2019,390,894.374296236
2019,391,905.434159751
2019,392,972.943881564
2019,393,981.026026313
2019,394,802.393864099
2019,395,681.071988189
2019,396,630.108079123
2019,397,608.234150828
2019,398,510.285774625
2019,399,583.610895237
2019,400,743.748143714
2019,401,1027.89017305
2019,402,1282.80138584
2019,403,1421.77777252
2019,404,1497.32118886
2019,405,1482.75903523
2019,406,1431.699332
2019,407,1373.63504855
2019,408,1284.05015408
2019,409,1130.31805122
2019,410,1018.06043654
2019,411,950.96393122
2019,412,914.65071268
2019,413,886.263729658
2019,414,882.20844637
2019,415,901.747538579
2019,416,975.973105797
2019,417,993.889182083
2019,418,825.850062364
2019,419,686.613962923
2019,420,611.554074828
2019,421,600.061273129
2019,422,494.717530481
2019,423,562.42654718
2019,424,730.90700268
2019,425,1021.29581649
2019,426,1273.70444426
2019,427,1403.94829348
2019,428,1484.97100793
2019,429,1479.62540723
2019,430,1434.46429788
2019,431,1372.34473114
2019,432,1277.96722914
2019,433,1126.26276793
2019,434,1014.00515326
2019,435,945.433999463
2019,436,903.222187048
2019,437,892.346654592
2019,438,889.581688713
2019,439,907.461801395
2019,440,974.200984707
2019,441,971.698965335
2019,442,807.255871049
2019,443,674.871779259
2019,444,606.689215633
2019,445,582.379608793
2019,446,481.492969588
2019,447,548.548734877
2019,448,700.703569115
2019,449,961.323587082
2019,450,1182.80464345
2019,451,1328.35987294
2019,452,1420.45513743
2019,453,1421.56112378
2019,454,1369.57976526
2019,455,1317.22974462
2019,456,1247.55260448
2019,457,1114.64991124
2019,458,1012.34617373
2019,459,939.719736647
2019,460,889.213026596
2019,461,859.535726164
2019,462,852.34681488
2019,463,849.766180059
2019,464,858.483787992
2019,465,714.512749837
2019,466,466.834659132
2019,467,376.492472156
2019,468,330.175067816
2019,469,312.491997738
2019,470,297.257830004
2019,471,308.691347704
2019,472,429.276924158
2019,473,673.320895554
2019,474,937.615488622
2019,475,1138.50439957
2019,476,1295.29434865
2019,477,1301.93026676
2019,478,1267.09169669
2019,479,1200.54818454
2019,480,1136.76963827
2019,481,1051.42435815
2019,482,939.166743471
2019,483,872.070238148
2019,484,822.669514448
2019,485,792.439220841
2019,486,785.803302732
2019,487,786.909289083
