sit,,Mid
Production per timestep [MWh],,Gas plant
stf,t,
2019,327,15143.9224638
2019,328,16611.3850638
2019,329,18653.4048612
2019,330,19521.6679802
2019,331,19252.3174516
2019,332,18491.9867085
2019,333,18231.2835809
2019,334,18313.5940278
2019,335,17140.4299537
2019,336,16196.5821441
2019,337,15659.8027315
2019,338,15473.7234721
2019,339,15549.9487109
2019,340,15925.3099708
2019,341,16738.4859425
2019,342,19219.9697662
2019,343,21769.0314278
2019,344,22375.0264996
2019,345,20013.9644641
2019,346,18736.8212772
2019,347,18024.0722642
2019,348,17468.9881602
2019,349,16800.0093052
2019,350,17405.3987584
2019,351,18793.7446383
2019,352,21319.0054772
2019,353,23401.1483051
2019,354,23511.0023257
2019,355,22875.5784865
2019,356,21497.4389803
2019,357,20538.2180133
2019,358,19884.5385497
2019,359,18338.8956827
2019,360,17209.2888879
2019,361,16571.3028557
2019,362,16300.6712306
2019,363,16376.5761953
2019,364,16765.709242
2019,365,17635.2534575
2019,366,19901.1928036
2019,367,22177.3809212
2019,368,22418.8374384
2019,369,21061.397746
2019,370,20317.8729675
2019,371,19820.2524744
2019,372,19234.4615025
2019,373,19343.4815896
2019,374,19797.6475661
2019,375,20707.0901812
2019,376,22108.0622745
2019,377,23489.2236861
2019,378,23553.9190568
2019,379,22843.8713494
2019,380,21571.1020262
2019,381,20710.2052118
2019,382,19921.6903468
2019,383,18216.2306976
2019,384,16905.9893033
2019,385,16095.6957986
2019,386,15717.1317976
2019,387,15890.0798184
2019,388,16458.8866422
2019,389,17308.8941368
2019,390,19690.7727116
2019,391,22154.6414592
2019,392,22616.0169389
2019,393,22152.8766843
2019,394,21779.830651
2019,395,21534.7975063
2019,396,21165.0992344
2019,397,20495.0045277
2019,398,20896.006673
2019,399,21701.7775308
2019,400,22692.1363559
2019,401,23960.9874538
2019,402,24128.4908147
2019,403,23445.3461327
2019,404,22282.7511042
2019,405,21481.1050006
2019,406,20748.6381053
2019,407,18892.009075
2019,408,17373.5895076
2019,409,16450.8797894
2019,410,15960.219849
2019,411,16146.6193825
2019,412,16333.018916
2019,413,17111.9255576
2019,414,19421.1019089
2019,415,21752.0568998
2019,416,22179.6267321
2019,417,22350.82455
2019,418,22618.5635686
2019,419,23014.2661115
2019,420,23130.2915499
2019,421,23006.7686634
2019,422,23153.0624987
2019,423,23179.3759181
2019,424,23175.2072636
2019,425,23835.4400017
2019,426,23264.7115332
2019,427,22139.2683018
2019,428,20767.5342779
2019,429,19681.8050365
2019,430,18907.3822324
2019,431,17232.0283498
2019,432,16322.1295962
2019,433,15828.9074629
2019,434,15729.622488
2019,435,15982.3187628
2019,436,16534.4713328
2019,437,17275.265355
2019,438,19359.6092793
2019,439,21846.2174889
2019,440,22514.5587556
2019,441,22361.2782027
2019,442,22448.5944719
2019,443,22729.9067977
2019,444,22444.7376222
2019,445,21955.7094176
2019,446,21606.6454002
2019,447,21724.3028922
2019,448,22071.4415473
2019,449,23372.323635
2019,450,23479.9357368
2019,451,22553.3827293
2019,452,21046.813304
2019,453,20070.9380832
2019,454,19614.867747
2019,455,18114.0632557
2019,456,16590.8395766
2019,457,15569.4854318
2019,458,15066.6550751
2019,459,15037.5101309
2019,460,15268.427766
2019,461,15188.0389638
2019,462,15409.3483755
2019,463,16697.1705819
2019,464,17871.6205428
2019,465,18984.5769319
2019,466,19379.3473781
2019,467,19654.3731611
2019,468,19261.6128836
2019,469,18340.2354205
2019,470,18123.1520245
2019,471,18535.6598193
2019,472,19068.1770376
2019,473,20499.1445716
2019,474,20788.0318211
2019,475,19930.978296
2019,476,18599.5988103
2019,477,17998.4443011
2019,478,17984.6725143
2019,479,16886.4525824
2019,480,15714.2493306
2019,481,14900.7530848
2019,482,14641.9716019
2019,483,14739.6552062
2019,484,14911.0018564
2019,485,14687.1302518
2019,486,14072.844504
2019,487,14444.6827486
2019,488,15088.5608833
2019,489,15706.7245553
2019,490,16293.3323189
2019,491,16967.7211262
2019,492,16636.021296
2019,493,15486.4878161
2019,494,15259.751453
2019,495,15965.2023326
2019,496,17021.2121945
2019,497,18893.2901715
2019,498,19737.2124579
2019,499,19344.8766701
2019,500,18503.8368506
2019,501,18226.1591951
2019,502,18390.1395407
2019,503,17226.2634158
2019,504,16326.2931596
2019,505,15715.5304271
2019,506,15490.0574519
2019,507,15746.597016
2019,508,16182.4900831
2019,509,17179.1831213
2019,510,19540.5641529
2019,511,21875.6827072
2019,512,22026.5772483
2019,513,21600.8882212
2019,514,21316.7643227
2019,515,21267.8516801
2019,516,21004.2823554
2019,517,20923.6869218
2019,518,21219.6877323
2019,519,21790.7553057
2019,520,22305.2150039
2019,521,23479.5837878
2019,522,23706.6898085
2019,523,23015.2179996
2019,524,21560.5329805
2019,525,20600.0309171
2019,526,20052.3621847
2019,527,18424.7291449
2019,528,17449.4944722
2019,529,16877.4849073
2019,530,16581.8719014
2019,531,16584.4340943
2019,532,16848.0196889
2019,533,17548.459173
2019,534,19628.9598079
2019,535,21857.7473569
2019,536,21982.4224646
2019,537,21062.3367519
2019,538,20860.0860901
2019,539,20874.5543775
2019,540,20791.2692973
2019,541,20249.2166781
2019,542,20625.7652299
2019,543,21206.523863
2019,544,21922.2701976
2019,545,23231.3387939
2019,546,23492.1061531
2019,547,22883.2650652
2019,548,21694.7278336
2019,549,20917.7428367
2019,550,20467.1171604
2019,551,19202.35469
2019,552,18303.0249821
2019,553,17720.7666455
2019,554,17247.4015072
2019,555,17065.1655372
2019,556,17230.4269793
2019,557,17916.7744024
2019,558,19928.7363772
2019,559,22099.874586
2019,560,22368.8555223
2019,561,22033.2170631
2019,562,21806.7759307
2019,563,21730.3826058
2019,564,21326.0238138
2019,565,21002.8097645
2019,566,21176.289424
2019,567,21458.2132621
2019,568,22036.8166891
2019,569,23551.998626
2019,570,23879.6378292
2019,571,23324.9230664
2019,572,22055.9970326
2019,573,21412.2460664
2019,574,21013.1845222
2019,575,19813.1174226
2019,576,18910.2646994
2019,577,18245.3756418
2019,578,17813.0055899
2019,579,17497.8558632
2019,580,17412.3426752
2019,581,18062.4991236
2019,582,20192.0016977
2019,583,22238.5532767
2019,584,22106.4008652
2019,585,21675.2988843
2019,586,21290.0223349
2019,587,21221.2591775
2019,588,20981.2548475
2019,589,20329.8885296
2019,590,20752.3905525
2019,591,21292.0758041
2019,592,21808.9301015
2019,593,23256.8981471
2019,594,23682.9895241
2019,595,23083.7566596
2019,596,21936.8550627
